host_id,host_since,host_is_superhost,update,start_month,host_duration
578211,2011-05-11,t,2019-05-31,5.0,2942.0
1207603,2011-09-25,t,2019-05-31,9.0,2805.0
1246229,2011-10-04,f,2019-05-31,10.0,2796.0
1250939,2011-10-05,t,2019-05-31,10.0,2795.0
1246229,2011-10-04,f,2019-05-31,10.0,2796.0
1284548,2011-10-13,t,2019-05-31,10.0,2787.0
1298575,2011-10-16,f,2019-05-31,10.0,2784.0
1335409,2011-10-25,t,2019-05-31,10.0,2775.0
1348968,2011-10-29,f,2019-05-31,10.0,2771.0
1143953,2011-09-11,t,2019-05-31,9.0,2819.0
831267,2011-07-17,f,2019-05-31,7.0,2875.0
1418696,2011-11-17,f,2019-05-31,11.0,2752.0
1428893,2011-11-21,f,2019-05-31,11.0,2748.0
746455,2011-06-26,f,2019-05-31,6.0,2896.0
1471597,2011-12-04,f,2019-05-31,12.0,2735.0
1488733,2011-12-09,f,2019-05-31,12.0,2730.0
1523587,2011-12-21,t,2019-05-31,12.0,2718.0
1282837,2011-10-12,f,2019-05-31,10.0,2788.0
1541934,2011-12-28,t,2019-05-31,12.0,2711.0
167892,2010-07-15,t,2019-05-31,7.0,3242.0
1554241,2012-01-01,f,2019-05-31,1.0,2707.0
1568741,2012-01-05,t,2019-05-31,1.0,2703.0
117233,2010-05-02,t,2019-05-31,5.0,3316.0
1599866,2012-01-12,f,2019-05-31,1.0,2696.0
1611299,2012-01-15,f,2019-05-31,1.0,2693.0
1614097,2012-01-16,f,2019-05-31,1.0,2692.0
1617870,2012-01-17,f,2019-05-31,1.0,2691.0
1626165,2012-01-19,f,2019-05-31,1.0,2689.0
1554241,2012-01-01,f,2019-05-31,1.0,2707.0
1554241,2012-01-01,f,2019-05-31,1.0,2707.0
1628379,2012-01-19,f,2019-05-31,1.0,2689.0
1637006,2012-01-22,f,2019-05-31,1.0,2686.0
814883,2011-07-13,t,2019-05-31,7.0,2879.0
1640158,2012-01-22,f,2019-05-31,1.0,2686.0
1640172,2012-01-22,t,2019-05-31,1.0,2686.0
1427814,2011-11-21,t,2019-05-31,11.0,2748.0
1641993,2012-01-23,f,2019-05-31,1.0,2685.0
1644741,2012-01-23,f,2019-05-31,1.0,2685.0
1647037,2012-01-24,t,2019-05-31,1.0,2684.0
1142525,2011-09-11,f,2019-05-31,9.0,2819.0
1647403,2012-01-24,f,2019-05-31,1.0,2684.0
3797734,2012-10-08,f,2019-05-31,10.0,2426.0
1654178,2012-01-26,t,2019-05-31,1.0,2682.0
1666874,2012-01-29,f,2019-05-31,1.0,2679.0
1671318,2012-01-29,f,2019-05-31,1.0,2679.0
1631335,2012-01-20,f,2019-05-31,1.0,2688.0
1680871,2012-01-31,f,2019-05-31,1.0,2677.0
880571,2011-07-27,f,2019-05-31,7.0,2865.0
1685125,2012-02-01,f,2019-05-31,2.0,2676.0
1690383,2012-02-02,f,2019-05-31,2.0,2675.0
1697428,2012-02-04,f,2019-05-31,2.0,2673.0
1698318,2012-02-04,t,2019-05-31,2.0,2673.0
1700565,2012-02-04,f,2019-05-31,2.0,2673.0
372962,2011-02-01,t,2019-05-31,2.0,3041.0
372962,2011-02-01,t,2019-05-31,2.0,3041.0
1700729,2012-02-05,t,2019-05-31,2.0,2672.0
1703984,2012-02-05,f,2019-05-31,2.0,2672.0
608539,2011-05-20,f,2019-05-31,5.0,2933.0
1555683,2012-01-01,f,2019-05-31,1.0,2707.0
261883,2010-10-14,f,2019-05-31,10.0,3151.0
1714022,2012-02-07,t,2019-05-31,2.0,2670.0
1633674,2012-01-21,f,2019-05-31,1.0,2687.0
1714815,2012-02-07,f,2019-05-31,2.0,2670.0
1715541,2012-02-07,f,2019-05-31,2.0,2670.0
1714832,2012-02-07,f,2019-05-31,2.0,2670.0
1143953,2011-09-11,t,2019-05-31,9.0,2819.0
1725752,2012-02-09,f,2019-05-31,2.0,2668.0
1727068,2012-02-09,f,2019-05-31,2.0,2668.0
4569,2008-11-24,f,2019-05-31,11.0,3840.0
1205884,2011-09-25,f,2019-05-31,9.0,2805.0
1733004,2012-02-10,t,2019-05-31,2.0,2667.0
1733263,2012-02-10,f,2019-05-31,2.0,2667.0
1733499,2012-02-11,f,2019-05-31,2.0,2666.0
1734746,2012-02-11,f,2019-05-31,2.0,2666.0
1735494,2012-02-11,t,2019-05-31,2.0,2666.0
1736662,2012-02-11,f,2019-05-31,2.0,2666.0
1739997,2012-02-12,f,2019-05-31,2.0,2665.0
1649892,2012-01-25,f,2019-05-31,1.0,2683.0
1742984,2012-02-13,t,2019-05-31,2.0,2664.0
1749905,2012-02-14,f,2019-05-31,2.0,2663.0
1644218,2012-01-23,f,2019-05-31,1.0,2685.0
1751224,2012-02-14,t,2019-05-31,2.0,2663.0
1752493,2012-02-14,t,2019-05-31,2.0,2663.0
1217905,2011-09-27,f,2019-05-31,9.0,2803.0
1756426,2012-02-15,f,2019-05-31,2.0,2662.0
1758859,2012-02-16,f,2019-05-31,2.0,2661.0
6846310,2013-06-10,f,2019-05-31,6.0,2181.0
1722520,2012-02-08,f,2019-05-31,2.0,2669.0
1761915,2012-02-16,t,2019-05-31,2.0,2661.0
1366664,2011-11-03,t,2019-05-31,11.0,2766.0
1594787,2012-01-11,f,2019-05-31,1.0,2697.0
1763086,2012-02-16,t,2019-05-31,2.0,2661.0
1763742,2012-02-17,f,2019-05-31,2.0,2660.0
1767284,2012-02-17,f,2019-05-31,2.0,2660.0
1770424,2012-02-18,t,2019-05-31,2.0,2659.0
1771402,2012-02-18,t,2019-05-31,2.0,2659.0
1782559,2012-02-20,f,2019-05-31,2.0,2657.0
1785118,2012-02-21,f,2019-05-31,2.0,2656.0
1789494,2012-02-21,t,2019-05-31,2.0,2656.0
1792021,2012-02-22,f,2019-05-31,2.0,2655.0
1752493,2012-02-14,t,2019-05-31,2.0,2663.0
1781705,2012-02-20,f,2019-05-31,2.0,2657.0
1795232,2012-02-22,f,2019-05-31,2.0,2655.0
1795524,2012-02-22,t,2019-05-31,2.0,2655.0
2049988,2012-04-01,f,2019-05-31,4.0,2616.0
1798140,2012-02-23,f,2019-05-31,2.0,2654.0
1798084,2012-02-23,f,2019-05-31,2.0,2654.0
1798834,2012-02-23,f,2019-05-31,2.0,2654.0
1801114,2012-02-23,f,2019-05-31,2.0,2654.0
1801314,2012-02-24,f,2019-05-31,2.0,2653.0
1804677,2012-02-24,t,2019-05-31,2.0,2653.0
1805253,2012-02-24,f,2019-05-31,2.0,2653.0
1805524,2012-02-24,f,2019-05-31,2.0,2653.0
1806205,2012-02-25,f,2019-05-31,2.0,2652.0
1782393,2012-02-20,t,2019-05-31,2.0,2657.0
1809146,2012-02-25,f,2019-05-31,2.0,2652.0
1808807,2012-02-25,t,2019-05-31,2.0,2652.0
1812799,2012-02-26,t,2019-05-31,2.0,2651.0
1163788,2011-09-15,t,2019-05-31,9.0,2815.0
1815367,2012-02-26,f,2019-05-31,2.0,2651.0
1815489,2012-02-26,f,2019-05-31,2.0,2651.0
1818568,2012-02-27,f,2019-05-31,2.0,2650.0
1819829,2012-02-27,f,2019-05-31,2.0,2650.0
1818990,2012-02-27,t,2019-05-31,2.0,2650.0
376066,2011-02-03,t,2019-05-31,2.0,3039.0
1831617,2012-02-29,f,2019-05-31,2.0,2648.0
1827423,2012-02-28,t,2019-05-31,2.0,2649.0
1832618,2012-02-29,f,2019-05-31,2.0,2648.0
213651,2010-08-26,t,2019-05-31,8.0,3200.0
1835217,2012-03-01,f,2019-05-31,3.0,2647.0
1840480,2012-03-01,t,2019-05-31,3.0,2647.0
1839064,2012-03-01,f,2019-05-31,3.0,2647.0
871765,2011-07-26,f,2019-05-31,7.0,2866.0
1840480,2012-03-01,t,2019-05-31,3.0,2647.0
1841318,2012-03-02,t,2019-05-31,3.0,2646.0
1845598,2012-03-02,f,2019-05-31,3.0,2646.0
1834167,2012-02-29,f,2019-05-31,2.0,2648.0
1851632,2012-03-03,f,2019-05-31,3.0,2645.0
1488733,2011-12-09,f,2019-05-31,12.0,2730.0
1854873,2012-03-04,t,2019-05-31,3.0,2644.0
1855238,2012-03-04,t,2019-05-31,3.0,2644.0
1856695,2012-03-04,f,2019-05-31,3.0,2644.0
1861886,2012-03-05,f,2019-05-31,3.0,2643.0
1865618,2012-03-05,f,2019-05-31,3.0,2643.0
1871009,2012-03-06,f,2019-05-31,3.0,2642.0
1568741,2012-01-05,t,2019-05-31,1.0,2703.0
7649,2009-02-09,f,2019-05-31,2.0,3763.0
1887493,2012-03-08,f,2019-05-31,3.0,2640.0
1890605,2012-03-09,f,2019-05-31,3.0,2639.0
1896666,2012-03-10,f,2019-05-31,3.0,2638.0
1887493,2012-03-08,f,2019-05-31,3.0,2640.0
1887493,2012-03-08,f,2019-05-31,3.0,2640.0
1921749,2012-03-14,f,2019-05-31,3.0,2634.0
1348968,2011-10-29,f,2019-05-31,10.0,2771.0
1929911,2012-03-15,f,2019-05-31,3.0,2633.0
1752493,2012-02-14,t,2019-05-31,2.0,2663.0
1652515,2012-01-25,t,2019-05-31,1.0,2683.0
1726978,2012-02-09,f,2019-05-31,2.0,2668.0
2070013,2012-04-04,f,2019-05-31,4.0,2613.0
1275188,2011-10-11,f,2019-05-31,10.0,2789.0
422789,2011-03-04,f,2019-05-31,3.0,3010.0
2141281,2012-04-14,f,2019-05-31,4.0,2603.0
2157243,2012-04-17,t,2019-05-31,4.0,2600.0
1644218,2012-01-23,f,2019-05-31,1.0,2685.0
2177425,2012-04-19,f,2019-05-31,4.0,2598.0
2200336,2012-04-23,t,2019-05-31,4.0,2594.0
2200456,2012-04-23,f,2019-05-31,4.0,2594.0
2214820,2012-04-24,t,2019-05-31,4.0,2593.0
1849637,2012-03-03,f,2019-05-31,3.0,2645.0
2207164,2012-04-23,f,2019-05-31,4.0,2594.0
1021729,2011-08-25,f,2019-05-31,8.0,2836.0
50264,2009-10-31,f,2019-05-31,10.0,3499.0
1918269,2012-03-13,f,2019-05-31,3.0,2635.0
2402591,2012-05-17,t,2019-05-31,5.0,2570.0
2374829,2012-05-15,f,2019-05-31,5.0,2572.0
2476440,2012-05-27,f,2019-05-31,5.0,2560.0
661078,2011-06-03,t,2019-05-31,6.0,2919.0
2200456,2012-04-23,f,2019-05-31,4.0,2594.0
2511927,2012-05-31,f,2019-05-31,5.0,2556.0
793021,2011-07-08,t,2019-05-31,7.0,2884.0
2546917,2012-06-04,f,2019-05-31,6.0,2552.0
2546775,2012-06-04,t,2019-05-31,6.0,2552.0
2565803,2012-06-06,f,2019-05-31,6.0,2550.0
2567934,2012-06-06,t,2019-05-31,6.0,2550.0
1711142,2012-02-07,f,2019-05-31,2.0,2670.0
2507231,2012-05-31,t,2019-05-31,5.0,2556.0
2595932,2012-06-10,t,2019-05-31,6.0,2546.0
2198912,2012-04-22,f,2019-05-31,4.0,2595.0
2484820,2012-05-28,f,2019-05-31,5.0,2559.0
989596,2011-08-18,t,2019-05-31,8.0,2843.0
2660928,2012-06-17,f,2019-05-31,6.0,2539.0
2457470,2012-05-24,f,2019-05-31,5.0,2563.0
1702279,2012-02-05,t,2019-05-31,2.0,2672.0
4335991,2012-12-05,t,2019-05-31,12.0,2368.0
2771838,2012-06-28,f,2019-05-31,6.0,2528.0
16872,2009-05-12,f,2019-05-31,5.0,3671.0
2839795,2012-07-05,t,2019-05-31,7.0,2521.0
1710302,2012-02-06,f,2019-05-31,2.0,2671.0
2773345,2012-06-28,f,2019-05-31,6.0,2528.0
7976770,2013-08-06,f,2019-05-31,8.0,2124.0
2920913,2012-07-12,f,2019-05-31,7.0,2514.0
2927288,2012-07-13,t,2019-05-31,7.0,2513.0
2852664,2012-07-06,f,2019-05-31,7.0,2520.0
2930753,2012-07-14,f,2019-05-31,7.0,2512.0
1280071,2011-10-12,f,2019-05-31,10.0,2788.0
1282837,2011-10-12,f,2019-05-31,10.0,2788.0
3003303,2012-07-20,t,2019-05-31,7.0,2506.0
2546033,2012-06-04,t,2019-05-31,6.0,2552.0
10615,2009-03-18,t,2019-05-31,3.0,3726.0
2989106,2012-07-19,f,2019-05-31,7.0,2507.0
806961,2011-07-11,t,2019-05-31,7.0,2881.0
745845,2011-06-26,f,2019-05-31,6.0,2896.0
437941,2011-03-12,t,2019-05-31,3.0,3002.0
12409,2009-04-06,t,2019-05-31,4.0,3707.0
3093222,2012-07-29,t,2019-05-31,7.0,2497.0
2436512,2012-05-22,t,2019-05-31,5.0,2565.0
3104238,2012-07-30,f,2019-05-31,7.0,2496.0
3147504,2012-08-03,t,2019-05-31,8.0,2492.0
3150671,2012-08-03,f,2019-05-31,8.0,2492.0
3158297,2012-08-04,f,2019-05-31,8.0,2491.0
3222157,2012-08-10,f,2019-05-31,8.0,2485.0
10615,2009-03-18,t,2019-05-31,3.0,3726.0
3228347,2012-08-11,f,2019-05-31,8.0,2484.0
3239177,2012-08-12,f,2019-05-31,8.0,2483.0
2076136,2012-04-05,t,2019-05-31,4.0,2612.0
3262147,2012-08-14,f,2019-05-31,8.0,2481.0
2200456,2012-04-23,f,2019-05-31,4.0,2594.0
2200456,2012-04-23,f,2019-05-31,4.0,2594.0
3179702,2012-08-06,f,2019-05-31,8.0,2489.0
2831971,2012-07-04,t,2019-05-31,7.0,2522.0
3333277,2012-08-21,t,2019-05-31,8.0,2474.0
543367,2011-04-28,t,2019-05-31,4.0,2955.0
3343870,2012-08-22,f,2019-05-31,8.0,2473.0
265070,2010-10-18,t,2019-05-31,10.0,3147.0
2350380,2012-05-11,f,2019-05-31,5.0,2576.0
2350380,2012-05-11,f,2019-05-31,5.0,2576.0
3378401,2012-08-26,f,2019-05-31,8.0,2469.0
3380639,2012-08-26,t,2019-05-31,8.0,2469.0
3382193,2012-08-26,t,2019-05-31,8.0,2469.0
2885190,2012-07-09,f,2019-05-31,7.0,2517.0
1710302,2012-02-06,f,2019-05-31,2.0,2671.0
3389824,2012-08-27,t,2019-05-31,8.0,2468.0
1710302,2012-02-06,f,2019-05-31,2.0,2671.0
2174080,2012-04-19,t,2019-05-31,4.0,2598.0
3432323,2012-08-31,f,2019-05-31,8.0,2464.0
3434065,2012-08-31,t,2019-05-31,8.0,2464.0
3334089,2012-08-21,f,2019-05-31,8.0,2474.0
3434065,2012-08-31,t,2019-05-31,8.0,2464.0
1831503,2012-02-29,f,2019-05-31,2.0,2648.0
3468228,2012-09-04,t,2019-05-31,9.0,2460.0
3484128,2012-09-05,f,2019-05-31,9.0,2459.0
3495665,2012-09-06,f,2019-05-31,9.0,2458.0
1568741,2012-01-05,t,2019-05-31,1.0,2703.0
1568741,2012-01-05,t,2019-05-31,1.0,2703.0
1568741,2012-01-05,t,2019-05-31,1.0,2703.0
307725,2010-12-02,f,2019-05-31,12.0,3102.0
3447572,2012-09-02,f,2019-05-31,9.0,2462.0
3509782,2012-09-08,f,2019-05-31,9.0,2456.0
3531593,2012-09-10,t,2019-05-31,9.0,2454.0
3537117,2012-09-11,f,2019-05-31,9.0,2453.0
3539325,2012-09-11,t,2019-05-31,9.0,2453.0
3547591,2012-09-12,f,2019-05-31,9.0,2452.0
3577561,2012-09-15,t,2019-05-31,9.0,2449.0
3584580,2012-09-16,f,2019-05-31,9.0,2448.0
3587826,2012-09-16,f,2019-05-31,9.0,2448.0
2214820,2012-04-24,t,2019-05-31,4.0,2593.0
3596874,2012-09-17,f,2019-05-31,9.0,2447.0
2697403,2012-06-20,f,2019-05-31,6.0,2536.0
3598921,2012-09-17,f,2019-05-31,9.0,2447.0
2207307,2012-04-23,f,2019-05-31,4.0,2594.0
33001,2009-08-21,f,2019-05-31,8.0,3570.0
1376031,2011-11-06,f,2019-05-31,11.0,2763.0
3605974,2012-09-18,f,2019-05-31,9.0,2446.0
3608082,2012-09-18,f,2019-05-31,9.0,2446.0
3608356,2012-09-18,t,2019-05-31,9.0,2446.0
3609092,2012-09-18,f,2019-05-31,9.0,2446.0
3614096,2012-09-19,f,2019-05-31,9.0,2445.0
3619116,2012-09-19,f,2019-05-31,9.0,2445.0
2548002,2012-06-04,f,2019-05-31,6.0,2552.0
3626574,2012-09-20,t,2019-05-31,9.0,2444.0
3633458,2012-09-21,f,2019-05-31,9.0,2443.0
1208231,2011-09-25,f,2019-05-31,9.0,2805.0
3659932,2012-09-24,f,2019-05-31,9.0,2440.0
3662973,2012-09-24,f,2019-05-31,9.0,2440.0
3677807,2012-09-26,f,2019-05-31,9.0,2438.0
3295530,2012-08-18,f,2019-05-31,8.0,2477.0
3685900,2012-09-26,t,2019-05-31,9.0,2438.0
3600437,2012-09-18,t,2019-05-31,9.0,2446.0
